cell_id,donor,condition,tissue,truth_cell_type,truth_state,nCount_RNA,nFeature_RNA,percent.mt,clonotype
Cell0001,D6,Treatment,Tumor,B,Other,225,82,6.58,
Cell0002,D3,Control,Blood,CD8_T,Cytotoxic,244,73,0.5,unique_16695
Cell0003,D6,Treatment,Blood,Monocyte,Other,111,61,3.57,
Cell0004,D5,Treatment,Tumor,B,Other,93,58,6.88,
Cell0005,D4,Treatment,Tumor,CD4_T,Exhaustion_assoc,318,85,4.68,clonotype_D
Cell0006,D6,Treatment,Tumor,Monocyte,Other,115,62,3.37,
Cell0007,D4,Treatment,Tumor,B,Other,201,85,7.33,
Cell0008,D5,Treatment,Blood,B,Other,117,59,6.41,
Cell0009,D2,Control,Blood,CD4_T,Naive_memory,177,70,4.45,unique_75738
Cell0010,D6,Treatment,Blood,CD8_T,Naive_memory,171,77,27.53,clonotype_F
Cell0011,D4,Treatment,Tumor,CD8_T,Exhaustion_assoc,297,90,0.61,clonotype_B
Cell0012,D5,Treatment,Tumor,Monocyte,Other,117,62,5.95,
Cell0013,D3,Control,Tumor,NK,Cytotoxic,117,69,6.35,
Cell0014,D6,Treatment,Tumor,Monocyte,Other,393,121,5.42,
Cell0015,D1,Control,Tumor,CD8_T,Cytotoxic,290,99,4.13,unique_86198
Cell0016,D1,Control,Tumor,CD4_T,Exhaustion_assoc,155,72,3.03,unique_98775
Cell0017,D4,Treatment,Blood,NK,Cytotoxic,128,63,5.74,
Cell0018,D5,Treatment,Blood,CD4_T,Naive_memory,319,101,5.41,unique_69968
Cell0019,D5,Treatment,Blood,Monocyte,Other,115,69,3.98,
Cell0020,D3,Control,Tumor,NK,Cytotoxic,116,54,4.15,
Cell0021,D4,Treatment,Blood,B,Other,176,77,5.36,
Cell0022,D4,Treatment,Tumor,CD8_T,Naive_memory,210,81,7.35,unique_77483
Cell0023,D6,Treatment,Tumor,Monocyte,Other,177,70,7.92,
Cell0024,D4,Treatment,Tumor,Monocyte,Other,221,87,4.24,
Cell0025,D3,Control,Blood,B,Other,109,59,0.5,
Cell0026,D6,Treatment,Blood,CD4_T,Cytotoxic,471,112,4.0,unique_51934
Cell0027,D1,Control,Blood,CD8_T,Naive_memory,202,83,5.83,unique_84724
Cell0028,D6,Treatment,Tumor,CD4_T,Naive_memory,285,99,5.83,unique_80980
Cell0029,D1,Control,Tumor,CD4_T,Cytotoxic,122,60,1.66,clonotype_A
Cell0030,D2,Control,Tumor,NK,Cytotoxic,206,81,6.97,
Cell0031,D5,Treatment,Blood,B,Other,67,43,5.92,
Cell0032,D5,Treatment,Blood,Monocyte,Other,91,54,6.06,
Cell0033,D6,Treatment,Blood,CD8_T,Cytotoxic,193,68,4.1,unique_87445
Cell0034,D5,Treatment,Tumor,CD8_T,Exhaustion_assoc,169,73,1.31,clonotype_A
Cell0035,D4,Treatment,Tumor,CD8_T,Cytotoxic,149,63,4.73,clonotype_A
Cell0036,D3,Control,Blood,CD4_T,Naive_memory,225,80,4.12,unique_43681
Cell0037,D1,Control,Tumor,CD4_T,Exhaustion_assoc,176,82,5.62,unique_40581
Cell0038,D1,Control,Blood,CD8_T,Naive_memory,128,70,5.72,unique_79190
Cell0039,D2,Control,Tumor,CD4_T,Naive_memory,247,91,3.75,unique_51145
Cell0040,D1,Control,Blood,NK,Cytotoxic,160,55,7.17,
Cell0041,D4,Treatment,Blood,CD8_T,Naive_memory,283,96,5.7,unique_84041
Cell0042,D5,Treatment,Tumor,Monocyte,Other,102,56,2.99,
Cell0043,D6,Treatment,Blood,B,Other,51,37,5.17,
Cell0044,D3,Control,Blood,CD8_T,Naive_memory,116,60,5.2,unique_10608
Cell0045,D6,Treatment,Blood,Monocyte,Other,204,85,4.91,
Cell0046,D6,Treatment,Blood,B,Other,78,50,9.89,
Cell0047,D6,Treatment,Tumor,CD8_T,Exhaustion_assoc,125,67,5.4,clonotype_B
Cell0048,D3,Control,Tumor,CD8_T,Exhaustion_assoc,120,58,3.59,unique_44110
Cell0049,D2,Control,Tumor,NK,Cytotoxic,127,63,5.68,
Cell0050,D6,Treatment,Blood,CD4_T,Cytotoxic,168,78,7.29,unique_87948
Cell0051,D2,Control,Tumor,CD4_T,Naive_memory,182,68,5.51,unique_72801
Cell0052,D3,Control,Blood,CD4_T,Naive_memory,160,67,4.15,unique_64210
Cell0053,D1,Control,Blood,B,Other,204,86,5.82,
Cell0054,D5,Treatment,Blood,NK,Cytotoxic,117,54,4.93,
Cell0055,D4,Treatment,Tumor,B,Other,78,41,5.02,
Cell0056,D1,Control,Tumor,B,Other,120,59,7.29,
Cell0057,D2,Control,Tumor,CD8_T,Cytotoxic,109,50,7.2,clonotype_A
Cell0058,D4,Treatment,Tumor,NK,Cytotoxic,223,86,4.86,
Cell0059,D4,Treatment,Tumor,CD4_T,Naive_memory,150,70,4.92,unique_47930
Cell0060,D5,Treatment,Tumor,CD4_T,Cytotoxic,169,63,7.78,clonotype_F
Cell0061,D2,Control,Tumor,NK,Cytotoxic,260,88,3.83,
Cell0062,D6,Treatment,Blood,CD8_T,Naive_memory,151,66,3.57,clonotype_E
Cell0063,D3,Control,Blood,NK,Cytotoxic,159,69,4.88,
Cell0064,D5,Treatment,Blood,B,Other,245,93,2.87,
Cell0065,D2,Control,Tumor,NK,Cytotoxic,125,53,4.89,
Cell0066,D1,Control,Tumor,NK,Cytotoxic,220,85,3.14,
Cell0067,D1,Control,Tumor,NK,Cytotoxic,104,54,5.28,
Cell0068,D3,Control,Blood,CD8_T,Naive_memory,80,48,4.78,unique_69735
Cell0069,D6,Treatment,Tumor,CD4_T,Cytotoxic,84,46,6.04,unique_67868
Cell0070,D1,Control,Blood,CD8_T,Cytotoxic,124,52,3.1,unique_46131
Cell0071,D3,Control,Blood,CD4_T,Naive_memory,128,57,7.04,unique_61733
Cell0072,D1,Control,Blood,CD8_T,Naive_memory,143,63,5.45,unique_53072
Cell0073,D6,Treatment,Blood,Monocyte,Other,219,82,5.17,
Cell0074,D5,Treatment,Tumor,CD4_T,Exhaustion_assoc,208,86,4.67,unique_35468
Cell0075,D5,Treatment,Blood,CD4_T,Cytotoxic,198,76,10.41,unique_16030
Cell0076,D5,Treatment,Tumor,CD8_T,Exhaustion_assoc,165,77,4.98,unique_84990
Cell0077,D4,Treatment,Tumor,CD8_T,Cytotoxic,225,80,5.89,unique_92097
Cell0078,D5,Treatment,Blood,NK,Cytotoxic,142,65,7.36,
Cell0079,D1,Control,Tumor,NK,Cytotoxic,220,86,5.59,
Cell0080,D6,Treatment,Blood,B,Other,192,72,18.82,
Cell0081,D5,Treatment,Tumor,NK,Cytotoxic,82,40,1.36,
Cell0082,D5,Treatment,Tumor,CD8_T,Exhaustion_assoc,100,55,4.72,clonotype_E
Cell0083,D3,Control,Tumor,Monocyte,Other,134,73,6.03,
Cell0084,D5,Treatment,Tumor,CD4_T,Naive_memory,148,67,6.96,unique_24133
Cell0085,D3,Control,Blood,CD4_T,Naive_memory,391,101,4.55,unique_58886
Cell0086,D1,Control,Tumor,CD4_T,Naive_memory,106,52,7.14,unique_85349
Cell0087,D6,Treatment,Blood,B,Other,143,71,4.55,
Cell0088,D2,Control,Blood,CD8_T,Naive_memory,206,90,10.91,unique_22334
Cell0089,D1,Control,Blood,CD4_T,Naive_memory,184,78,1.2,unique_84153
Cell0090,D4,Treatment,Tumor,CD8_T,Naive_memory,119,60,6.83,unique_46910
Cell0091,D2,Control,Tumor,CD4_T,Exhaustion_assoc,161,69,5.49,clonotype_C
Cell0092,D6,Treatment,Tumor,B,Other,98,63,5.36,
Cell0093,D3,Control,Tumor,CD8_T,Cytotoxic,214,76,7.31,clonotype_B
Cell0094,D1,Control,Blood,CD8_T,Naive_memory,139,63,4.64,unique_27400
Cell0095,D6,Treatment,Tumor,CD8_T,Naive_memory,143,68,6.16,unique_79253
Cell0096,D4,Treatment,Blood,NK,Cytotoxic,234,90,22.99,
Cell0097,D2,Control,Tumor,CD8_T,Cytotoxic,104,51,4.62,unique_28188
Cell0098,D5,Treatment,Blood,CD4_T,Naive_memory,78,47,4.19,unique_42350
Cell0099,D4,Treatment,Tumor,CD4_T,Cytotoxic,217,80,7.51,clonotype_B
Cell0100,D1,Control,Blood,Monocyte,Other,247,100,7.06,
Cell0101,D5,Treatment,Blood,Monocyte,Other,78,49,6.28,
Cell0102,D3,Control,Tumor,B,Other,125,66,28.96,
Cell0103,D5,Treatment,Blood,CD8_T,Naive_memory,82,51,4.08,clonotype_G
Cell0104,D6,Treatment,Blood,Monocyte,Other,74,40,3.14,
Cell0105,D4,Treatment,Tumor,B,Other,106,62,4.05,
Cell0106,D5,Treatment,Blood,B,Other,188,85,6.05,
Cell0107,D2,Control,Tumor,CD8_T,Exhaustion_assoc,176,67,8.39,unique_72418
Cell0108,D2,Control,Blood,CD8_T,Exhaustion_assoc,178,72,6.47,unique_99697
Cell0109,D3,Control,Tumor,CD4_T,Cytotoxic,179,77,5.61,unique_10936
Cell0110,D6,Treatment,Tumor,Monocyte,Other,157,74,0.5,
Cell0111,D4,Treatment,Tumor,CD8_T,Cytotoxic,146,61,6.73,clonotype_B
Cell0112,D3,Control,Tumor,CD4_T,Exhaustion_assoc,247,75,5.91,unique_53514
Cell0113,D5,Treatment,Tumor,CD8_T,Exhaustion_assoc,146,59,27.47,unique_45115
Cell0114,D6,Treatment,Tumor,NK,Cytotoxic,163,70,4.94,
Cell0115,D6,Treatment,Blood,CD4_T,Cytotoxic,294,97,4.41,unique_92292
Cell0116,D2,Control,Blood,Monocyte,Other,181,72,2.74,
Cell0117,D5,Treatment,Tumor,B,Other,201,85,3.03,
Cell0118,D4,Treatment,Tumor,B,Other,140,74,4.07,
Cell0119,D3,Control,Blood,CD8_T,Cytotoxic,358,106,5.57,unique_48744
